sinograma,1,2,3,4,5,6,total
抚,0,0,0,0,0,2,2
抹,0,0,0,0,0,2,2
拘,0,0,0,0,0,2,2
拨,0,0,0,0,0,2,2
挚,0,0,0,0,0,2,2
挽,0,0,0,0,0,2,2
捕,0,0,0,0,0,2,2
捧,0,0,0,0,0,2,2
撤,0,0,0,0,0,2,2
擅,0,0,0,0,0,2,2
敞,0,0,0,0,0,2,2
旗,0,0,0,0,0,2,2
昏,0,0,0,0,0,2,2
昧,0,0,0,0,0,2,2
晨,0,0,0,0,0,2,2
朴,0,0,0,0,0,2,2
枯,0,0,0,0,0,2,2
横,0,0,0,0,0,2,2
欺,0,0,0,0,0,2,2
歧,0,0,0,0,0,2,2
殖,0,0,0,0,0,2,2
毁,0,0,0,0,0,2,2
毅,0,0,0,0,0,2,2
氧,0,0,0,0,0,2,2
汰,0,0,0,0,0,2,2
泄,0,0,0,0,0,2,2
泊,0,0,0,0,0,2,2
泡,0,0,0,0,0,2,2
津,0,0,0,0,0,2,2
洽,0,0,0,0,0,2,2
涌,0,0,0,0,0,2,2
港,0,0,0,0,0,2,2
滋,0,0,0,0,0,2,2
滔,0,0,0,0,0,2,2
滞,0,0,0,0,0,2,2
炎,0,0,0,0,0,2,2
焦,0,0,0,0,0,2,2
牢,0,0,0,0,0,2,2
牲,0,0,0,0,0,2,2
狭,0,0,0,0,0,2,2
狼,0,0,0,0,0,2,2
甘,0,0,0,0,0,2,2
田,0,0,0,0,0,2,2
畜,0,0,0,0,0,2,2
疾,0,0,0,0,0,2,2
症,0,0,0,0,0,2,2
瘾,0,0,0,0,0,2,2
皇,0,0,0,0,0,2,2
盈,0,0,0,0,0,2,2
督,0,0,0,0,0,2,2
祥,0,0,0,0,0,2,2
笼,0,0,0,0,0,2,2
筹,0,0,0,0,0,2,2
纠,0,0,0,0,0,2,2
纵,0,0,0,0,0,2,2
绎,0,0,0,0,0,2,2
绑,0,0,0,0,0,2,2
缘,0,0,0,0,0,2,2
署,0,0,0,0,0,2,2
耗,0,0,0,0,0,2,2
耻,0,0,0,0,0,2,2
肆,0,0,0,0,0,2,2
肖,0,0,0,0,0,2,2
胎,0,0,0,0,0,2,2
腾,0,0,0,0,0,2,2
若,0,0,0,0,0,2,2
董,0,0,0,0,0,2,2
蔑,0,0,0,0,0,2,2
衰,0,0,0,0,0,2,2
衷,0,0,0,0,0,2,2
誓,0,0,0,0,0,2,2
诞,0,0,0,0,0,2,2
谷,0,0,0,0,0,2,2
贪,0,0,0,0,0,2,2
贫,0,0,0,0,0,2,2
贬,0,0,0,0,0,2,2
赋,0,0,0,0,0,2,2
赤,0,0,0,0,0,2,2
踏,0,0,0,0,0,2,2
辉,0,0,0,0,0,2,2
辜,0,0,0,0,0,2,2
辨,0,0,0,0,0,2,2
迈,0,0,0,0,0,2,2
遥,0,0,0,0,0,2,2
鄙,0,0,0,0,0,2,2
酬,0,0,0,0,0,2,2
酷,0,0,0,0,0,2,2
钻,0,0,0,0,0,2,2
锐,0,0,0,0,0,2,2
闷,0,0,0,0,0,2,2
隆,0,0,0,0,0,2,2
雇,0,0,0,0,0,2,2
雕,0,0,0,0,0,2,2
顽,0,0,0,0,0,2,2
颁,0,0,0,0,0,2,2
颠,0,0,0,0,0,2,2
骚,0,0,0,0,0,2,2
魄,0,0,0,0,0,2,2
魔,0,0,0,0,0,2,2
七,1,0,0,0,0,0,1
九,1,0,0,0,0,0,1
买,1,0,0,0,0,0,1
五,1,0,0,0,0,0,1
些,1,0,0,0,0,0,1
你,1,0,0,0,0,0,1
八,1,0,0,0,0,0,1
六,1,0,0,0,0,0,1
叫,1,0,0,0,0,0,1
吗,1,0,0,0,0,0,1
呢,1,0,0,0,0,0,1
喝,1,0,0,0,0,0,1
块,1,0,0,0,0,0,1
她,1,0,0,0,0,0,1
很,1,0,0,0,0,0,1
昨,1,0,0,0,0,0,1
朋,1,0,0,0,0,0,1
桌,1,0,0,0,0,0,1
椅,1,0,0,0,0,0,1
汉,1,0,0,0,0,0,1
狗,1,0,0,0,0,0,1
睡,1,0,0,0,0,0,1
苹,1,0,0,0,0,0,1
茶,1,0,0,0,0,0,1
谁,1,0,0,0,0,0,1
这,1,0,0,0,0,0,1
钟,1,0,0,0,0,0,1
雨,1,0,0,0,0,0,1
丈,0,1,0,0,0,0,1
咖,0,1,0,0,0,0,1
唱,0,1,0,0,0,0,1
啡,0,1,0,0,0,0,1
妻,0,1,0,0,0,0,1
孩,0,1,0,0,0,0,1
它,0,1,0,0,0,0,1
希,0,1,0,0,0,0,1
您,0,1,0,0,0,0,1
懂,0,1,0,0,0,0,1
旁,0,1,0,0,0,0,1
每,0,1,0,0,0,0,1
泳,0,1,0,0,0,0,1
瓜,0,1,0,0,0,0,1
男,0,1,0,0,0,0,1
睛,0,1,0,0,0,0,1
第,0,1,0,0,0,0,1
篮,0,1,0,0,0,0,1
纸,0,1,0,0,0,0,1
绍,0,1,0,0,0,0,1
羊,0,1,0,0,0,0,1
虽,0,1,0,0,0,0,1
跑,0,1,0,0,0,0,1
踢,0,1,0,0,0,0,1
铅,0,1,0,0,0,0,1
颜,0,1,0,0,0,0,1
鱼,0,1,0,0,0,0,1
鸡,0,1,0,0,0,0,1
伞,0,0,1,0,0,0,1
冬,0,0,1,0,0,0,1
净,0,0,1,0,0,0,1
刮,0,0,1,0,0,0,1
努,0,0,1,0,0,0,1
又,0,0,1,0,0,0,1
句,0,0,1,0,0,0,1
史,0,0,1,0,0,0,1
啤,0,0,1,0,0,0,1
姨,0,0,1,0,0,0,1
帽,0,0,1,0,0,0,1
康,0,0,1,0,0,0,1
扫,0,0,1,0,0,0,1
搬,0,0,1,0,0,0,1
斤,0,0,1,0,0,0,1
李,0,0,1,0,0,0,1
梯,0,0,1,0,0,0,1
楚,0,0,1,0,0,0,1
楼,0,0,1,0,0,0,1
河,0,0,1,0,0,0,1
澡,0,0,1,0,0,0,1
熊,0,0,1,0,0,0,1
爬,0,0,1,0,0,0,1
瓶,0,0,1,0,0,0,1
甜,0,0,1,0,0,0,1
瘦,0,0,1,0,0,0,1
矮,0,0,1,0,0,0,1
碗,0,0,1,0,0,0,1
秋,0,0,1,0,0,0,1
筷,0,0,1,0,0,0,1
绩,0,0,1,0,0,0,1
绿,0,0,1,0,0,0,1
聪,0,0,1,0,0,0,1
胖,0,0,1,0,0,0,1
脚,0,0,1,0,0,0,1
脸,0,0,1,0,0,0,1
腿,0,0,1,0,0,0,1
般,0,0,1,0,0,0,1
蕉,0,0,1,0,0,0,1
街,0,0,1,0,0,0,1
衫,0,0,1,0,0,0,1
裙,0,0,1,0,0,0,1
辆,0,0,1,0,0,0,1
邻,0,0,1,0,0,0,1
锻,0,0,1,0,0,0,1
阿,0,0,1,0,0,0,1
鞋,0,0,1,0,0,0,1
骑,0,0,1,0,0,0,1
鸟,0,0,1,0,0,0,1
乒,0,0,0,1,0,0,1
乓,0,0,0,1,0,0,1
云,0,0,0,1,0,0,1
仅,0,0,0,1,0,0,1
俩,0,0,0,1,0,0,1
倍,0,0,0,1,0,0,1
傅,0,0,0,1,0,0,1
傲,0,0,0,1,0,0,1
允,0,0,0,1,0,0,1
剩,0,0,0,1,0,0,1
勺,0,0,0,1,0,0,1
匙,0,0,0,1,0,0,1
厕,0,0,0,1,0,0,1
厨,0,0,0,1,0,0,1
另,0,0,0,1,0,0,1
叶,0,0,0,1,0,0,1
呀,0,0,0,1,0,0,1
咱,0,0,0,1,0,0,1
咳,0,0,0,1,0,0,1
咸,0,0,0,1,0,0,1
嗽,0,0,0,1,0,0,1
圾,0,0,0,1,0,0,1
址,0,0,0,1,0,0,1
垃,0,0,0,1,0,0,1
填,0,0,0,1,0,0,1
够,0,0,0,1,0,0,1
孙,0,0,0,1,0,0,1
尔,0,0,0,1,0,0,1
尤,0,0,0,1,0,0,1
帅,0,0,0,1,0,0,1
幽,0,0,0,1,0,0,1
怜,0,0,0,1,0,0,1
愉,0,0,0,1,0,0,1
慕,0,0,0,1,0,0,1
戚,0,0,0,1,0,0,1
扔,0,0,0,1,0,0,1
抬,0,0,0,1,0,0,1
拉,0,0,0,1,0,0,1
拒,0,0,0,1,0,0,1
掉,0,0,0,1,0,0,1
敲,0,0,0,1,0,0,1
暑,0,0,0,1,0,0,1
柿,0,0,0,1,0,0,1
桶,0,0,0,1,0,0,1
森,0,0,0,1,0,0,1
棵,0,0,0,1,0,0,1
橡,0,0,0,1,0,0,1
汁,0,0,0,1,0,0,1
汗,0,0,0,1,0,0,1
江,0,0,0,1,0,0,1
汤,0,0,0,1,0,0,1
洋,0,0,0,1,0,0,1
烤,0,0,0,1,0,0,1
猜,0,0,0,1,0,0,1
琴,0,0,0,1,0,0,1
甚,0,0,0,1,0,0,1
盐,0,0,0,1,0,0,1
盒,0,0,0,1,0,0,1
础,0,0,0,1,0,0,1
硕,0,0,0,1,0,0,1
秀,0,0,0,1,0,0,1
秒,0,0,0,1,0,0,1
稍,0,0,0,1,0,0,1
篇,0,0,0,1,0,0,1
糖,0,0,0,1,0,0,1
羡,0,0,0,1,0,0,1
肚,0,0,0,1,0,0,1
肤,0,0,0,1,0,0,1
胳,0,0,0,1,0,0,1
脾,0,0,0,1,0,0,1
膊,0,0,0,1,0,0,1
膏,0,0,0,1,0,0,1
萄,0,0,0,1,0,0,1
葡,0,0,0,1,0,0,1
袜,0,0,0,1,0,0,1
译,0,0,0,1,0,0,1
贺,0,0,0,1,0,0,1
赚,0,0,0,1,0,0,1
赢,0,0,0,1,0,0,1
趟,0,0,0,1,0,0,1
躺,0,0,0,1,0,0,1
逛,0,0,0,1,0,0,1
郊,0,0,0,1,0,0,1
酸,0,0,0,1,0,0,1
钥,0,0,0,1,0,0,1
阅,0,0,0,1,0,0,1
陪,0,0,0,1,0,0,1
页,0,0,0,1,0,0,1
餐,0,0,0,1,0,0,1
饺,0,0,0,1,0,0,1
饼,0,0,0,1,0,0,1
骄,0,0,0,1,0,0,1
鸭,0,0,0,1,0,0,1
龄,0,0,0,1,0,0,1
乖,0,0,0,0,1,0,1
乙,0,0,0,0,1,0,1
享,0,0,0,0,1,0,1
亿,0,0,0,0,1,0,1
佛,0,0,0,0,1,0,1
俊,0,0,0,0,1,0,1
偷,0,0,0,0,1,0,1
傍,0,0,0,0,1,0,1
催,0,0,0,0,1,0,1
傻,0,0,0,0,1,0,1
兄,0,0,0,0,1,0,1
兔,0,0,0,0,1,0,1
兵,0,0,0,0,1,0,1
冠,0,0,0,0,1,0,1
删,0,0,0,0,1,0,1
劝,0,0,0,0,1,0,1
勿,0,0,0,0,1,0,1
匀,0,0,0,0,1,0,1
匆,0,0,0,0,1,0,1
匹,0,0,0,0,1,0,1
卧,0,0,0,0,1,0,1
厂,0,0,0,0,1,0,1
厘,0,0,0,0,1,0,1
厢,0,0,0,0,1,0,1
厦,0,0,0,0,1,0,1
县,0,0,0,0,1,0,1
叙,0,0,0,0,1,0,1
吨,0,0,0,0,1,0,1
吻,0,0,0,0,1,0,1
咨,0,0,0,0,1,0,1
咬,0,0,0,0,1,0,1
哈,0,0,0,0,1,0,1
哎,0,0,0,0,1,0,1
哲,0,0,0,0,1,0,1
唉,0,0,0,0,1,0,1
喊,0,0,0,0,1,0,1
喷,0,0,0,0,1,0,1
嗓,0,0,0,0,1,0,1
嘉,0,0,0,0,1,0,1
嚏,0,0,0,0,1,0,1
塘,0,0,0,0,1,0,1
墙,0,0,0,0,1,0,1
壶,0,0,0,0,1,0,1
奈,0,0,0,0,1,0,1
姻,0,0,0,0,1,0,1
娱,0,0,0,0,1,0,1
娶,0,0,0,0,1,0,1
婆,0,0,0,0,1,0,1
嫁,0,0,0,0,1,0,1
嫩,0,0,0,0,1,0,1
孝,0,0,0,0,1,0,1
宠,0,0,0,0,1,0,1
宴,0,0,0,0,1,0,1
宿,0,0,0,0,1,0,1
寞,0,0,0,0,1,0,1
寿,0,0,0,0,1,0,1
尘,0,0,0,0,1,0,1
尺,0,0,0,0,1,0,1
尾,0,0,0,0,1,0,1
屉,0,0,0,0,1,0,1
届,0,0,0,0,1,0,1
屋,0,0,0,0,1,0,1
屿,0,0,0,0,1,0,1
岛,0,0,0,0,1,0,1
岸,0,0,0,0,1,0,1
帘,0,0,0,0,1,0,1
幻,0,0,0,0,1,0,1
府,0,0,0,0,1,0,1
庭,0,0,0,0,1,0,1
弯,0,0,0,0,1,0,1
彼,0,0,0,0,1,0,1
恢,0,0,0,0,1,0,1
悠,0,0,0,0,1,0,1
惭,0,0,0,0,1,0,1
愁,0,0,0,0,1,0,1
慌,0,0,0,0,1,0,1
慧,0,0,0,0,1,0,1
憾,0,0,0,0,1,0,1
扇,0,0,0,0,1,0,1
扶,0,0,0,0,1,0,1
抄,0,0,0,0,1,0,1
披,0,0,0,0,1,0,1
押,0,0,0,0,1,0,1
拆,0,0,0,0,1,0,1
拍,0,0,0,0,1,0,1
挤,0,0,0,0,1,0,1
捐,0,0,0,0,1,0,1
捡,0,0,0,0,1,0,1
措,0,0,0,0,1,0,1
搜,0,0,0,0,1,0,1
搞,0,0,0,0,1,0,1
摔,0,0,0,0,1,0,1
撕,0,0,0,0,1,0,1
撞,0,0,0,0,1,0,1
旬,0,0,0,0,1,0,1
昆,0,0,0,0,1,0,1
映,0,0,0,0,1,0,1
晒,0,0,0,0,1,0,1
晕,0,0,0,0,1,0,1
曾,0,0,0,0,1,0,1
替,0,0,0,0,1,0,1
村,0,0,0,0,1,0,1
析,0,0,0,0,1,0,1
枪,0,0,0,0,1,0,1
某,0,0,0,0,1,0,1
柜,0,0,0,0,1,0,1
桃,0,0,0,0,1,0,1
桔,0,0,0,0,1,0,1
梨,0,0,0,0,1,0,1
梳,0,0,0,0,1,0,1
棋,0,0,0,0,1,0,1
椒,0,0,0,0,1,0,1
欠,0,0,0,0,1,0,1
欧,0,0,0,0,1,0,1
歇,0,0,0,0,1,0,1
毯,0,0,0,0,1,0,1
氛,0,0,0,0,1,0,1
沟,0,0,0,0,1,0,1
浅,0,0,0,0,1,0,1
浇,0,0,0,0,1,0,1
浏,0,0,0,0,1,0,1
滩,0,0,0,0,1,0,1
滴,0,0,0,0,1,0,1
漠,0,0,0,0,1,0,1
炒,0,0,0,0,1,0,1
炭,0,0,0,0,1,0,1
炮,0,0,0,0,1,0,1
烫,0,0,0,0,1,0,1
煤,0,0,0,0,1,0,1
煮,0,0,0,0,1,0,1
燃,0,0,0,0,1,0,1
狂,0,0,0,0,1,0,1
狡,0,0,0,0,1,0,1
狮,0,0,0,0,1,0,1
猪,0,0,0,0,1,0,1
猴,0,0,0,0,1,0,1
猾,0,0,0,0,1,0,1
玻,0,0,0,0,1,0,1
璃,0,0,0,0,1,0,1
甩,0,0,0,0,1,0,1
疗,0,0,0,0,1,0,1
疯,0,0,0,0,1,0,1
痒,0,0,0,0,1,0,1
皂,0,0,0,0,1,0,1
盼,0,0,0,0,1,0,1
盾,0,0,0,0,1,0,1
眉,0,0,0,0,1,0,1
眠,0,0,0,0,1,0,1
睁,0,0,0,0,1,0,1
瞎,0,0,0,0,1,0,1
瞧,0,0,0,0,1,0,1
矛,0,0,0,0,1,0,1
矩,0,0,0,0,1,0,1
碰,0,0,0,0,1,0,1
秩,0,0,0,0,1,0,1
税,0,0,0,0,1,0,1
稳,0,0,0,0,1,0,1
筑,0,0,0,0,1,0,1
粘,0,0,0,0,1,0,1
粮,0,0,0,0,1,0,1
糙,0,0,0,0,1,0,1
紫,0,0,0,0,1,0,1
绪,0,0,0,0,1,0,1
绳,0,0,0,0,1,0,1
绸,0,0,0,0,1,0,1
综,0,0,0,0,1,0,1
翅,0,0,0,0,1,0,1
耽,0,0,0,0,1,0,1
肃,0,0,0,0,1,0,1
肌,0,0,0,0,1,0,1
肠,0,0,0,0,1,0,1
肩,0,0,0,0,1,0,1
胁,0,0,0,0,1,0,1
胶,0,0,0,0,1,0,1
脖,0,0,0,0,1,0,1
腰,0,0,0,0,1,0,1
臭,0,0,0,0,1,0,1
艳,0,0,0,0,1,0,1
荐,0,0,0,0,1,0,1
蔬,0,0,0,0,1,0,1
虫,0,0,0,0,1,0,1
虹,0,0,0,0,1,0,1
蜂,0,0,0,0,1,0,1
蜜,0,0,0,0,1,0,1
蝴,0,0,0,0,1,0,1
蝶,0,0,0,0,1,0,1
裔,0,0,0,0,1,0,1
裹,0,0,0,0,1,0,1
订,0,0,0,0,1,0,1
讽,0,0,0,0,1,0,1
诗,0,0,0,0,1,0,1
谓,0,0,0,0,1,0,1
谨,0,0,0,0,1,0,1
豫,0,0,0,0,1,0,1
贡,0,0,0,0,1,0,1
贷,0,0,0,0,1,0,1
贸,0,0,0,0,1,0,1
赔,0,0,0,0,1,0,1
趁,0,0,0,0,1,0,1
趋,0,0,0,0,1,0,1
踩,0,0,0,0,1,0,1
蹲,0,0,0,0,1,0,1
躲,0,0,0,0,1,0,1
迅,0,0,0,0,1,0,1
返,0,0,0,0,1,0,1
逗,0,0,0,0,1,0,1
酱,0,0,0,0,1,0,1
醋,0,0,0,0,1,0,1
钓,0,0,0,0,1,0,1
铃,0,0,0,0,1,0,1
链,0,0,0,0,1,0,1
闯,0,0,0,0,1,0,1
陌,0,0,0,0,1,0,1
雾,0,0,0,0,1,0,1
霉,0,0,0,0,1,0,1
顶,0,0,0,0,1,0,1
颗,0,0,0,0,1,0,1
馒,0,0,0,0,1,0,1
驶,0,0,0,0,1,0,1
骂,0,0,0,0,1,0,1
骤,0,0,0,0,1,0,1
髦,0,0,0,0,1,0,1
魅,0,0,0,0,1,0,1
齿,0,0,0,0,1,0,1
丁,0,0,0,0,0,1,1
丐,0,0,0,0,0,1,1
丘,0,0,0,0,0,1,1
丙,0,0,0,0,0,1,1
丛,0,0,0,0,0,1,1
串,0,0,0,0,0,1,1
丸,0,0,0,0,0,1,1
乌,0,0,0,0,0,1,1
乞,0,0,0,0,0,1,1
乳,0,0,0,0,0,1,1
井,0,0,0,0,0,1,1
亦,0,0,0,0,0,1,1
亭,0,0,0,0,0,1,1
仁,0,0,0,0,0,1,1
仇,0,0,0,0,0,1,1
仗,0,0,0,0,0,1,1
仙,0,0,0,0,0,1,1
伍,0,0,0,0,0,1,1
伦,0,0,0,0,0,1,1
伯,0,0,0,0,0,1,1
伶,0,0,0,0,0,1,1
伺,0,0,0,0,0,1,1
佣,0,0,0,0,0,1,1
佳,0,0,0,0,0,1,1
侄,0,0,0,0,0,1,1
侈,0,0,0,0,0,1,1
侠,0,0,0,0,0,1,1
侣,0,0,0,0,0,1,1
侥,0,0,0,0,0,1,1
侦,0,0,0,0,0,1,1
侧,0,0,0,0,0,1,1
侨,0,0,0,0,0,1,1
侮,0,0,0,0,0,1,1
俐,0,0,0,0,0,1,1
俘,0,0,0,0,0,1,1
俭,0,0,0,0,0,1,1
俯,0,0,0,0,0,1,1
倔,0,0,0,0,0,1,1
倘,0,0,0,0,0,1,1
倦,0,0,0,0,0,1,1
债,0,0,0,0,0,1,1
僵,0,0,0,0,0,1,1
僻,0,0,0,0,0,1,1
儒,0,0,0,0,0,1,1
兆,0,0,0,0,0,1,1
党,0,0,0,0,0,1,1
兜,0,0,0,0,0,1,1
兽,0,0,0,0,0,1,1
冤,0,0,0,0,0,1,1
凄,0,0,0,0,0,1,1
凑,0,0,0,0,0,1,1
凸,0,0,0,0,0,1,1
凹,0,0,0,0,0,1,1
刑,0,0,0,0,0,1,1
券,0,0,0,0,0,1,1
剂,0,0,0,0,0,1,1
剑,0,0,0,0,0,1,1
剔,0,0,0,0,0,1,1
剖,0,0,0,0,0,1,1
剥,0,0,0,0,0,1,1
割,0,0,0,0,0,1,1
劈,0,0,0,0,0,1,1
劫,0,0,0,0,0,1,1
勘,0,0,0,0,0,1,1
勾,0,0,0,0,0,1,1
卓,0,0,0,0,0,1,1
卸,0,0,0,0,0,1,1
叛,0,0,0,0,0,1,1
叠,0,0,0,0,0,1,1
叨,0,0,0,0,0,1,1
叭,0,0,0,0,0,1,1
叮,0,0,0,0,0,1,1
叼,0,0,0,0,0,1,1
吁,0,0,0,0,0,1,1
吉,0,0,0,0,0,1,1
吊,0,0,0,0,0,1,1
君,0,0,0,0,0,1,1
吝,0,0,0,0,0,1,1
吟,0,0,0,0,0,1,1
吩,0,0,0,0,0,1,1
吼,0,0,0,0,0,1,1
呈,0,0,0,0,0,1,1
呕,0,0,0,0,0,1,1
呵,0,0,0,0,0,1,1
呻,0,0,0,0,0,1,1
咀,0,0,0,0,0,1,1
咋,0,0,0,0,0,1,1
咙,0,0,0,0,0,1,1
咽,0,0,0,0,0,1,1
哀,0,0,0,0,0,1,1
哆,0,0,0,0,0,1,1
哇,0,0,0,0,0,1,1
哑,0,0,0,0,0,1,1
哗,0,0,0,0,0,1,1
哨,0,0,0,0,0,1,1
哺,0,0,0,0,0,1,1
哼,0,0,0,0,0,1,1
唆,0,0,0,0,0,1,1
唇,0,0,0,0,0,1,1
唐,0,0,0,0,0,1,1
唠,0,0,0,0,0,1,1
唤,0,0,0,0,0,1,1
唾,0,0,0,0,0,1,1
啃,0,0,0,0,0,1,1
啥,0,0,0,0,0,1,1
啦,0,0,0,0,0,1,1
啬,0,0,0,0,0,1,1
啰,0,0,0,0,0,1,1
啸,0,0,0,0,0,1,1
喇,0,0,0,0,0,1,1
喉,0,0,0,0,0,1,1
喘,0,0,0,0,0,1,1
喧,0,0,0,0,0,1,1
嗅,0,0,0,0,0,1,1
嗦,0,0,0,0,0,1,1
嗨,0,0,0,0,0,1,1
嘈,0,0,0,0,0,1,1
嘛,0,0,0,0,0,1,1
嘲,0,0,0,0,0,1,1
嘿,0,0,0,0,0,1,1
噪,0,0,0,0,0,1,1
嚷,0,0,0,0,0,1,1
嚼,0,0,0,0,0,1,1
圣,0,0,0,0,0,1,1
坑,0,0,0,0,0,1,1
坛,0,0,0,0,0,1,1
坝,0,0,0,0,0,1,1
坟,0,0,0,0,0,1,1
坠,0,0,0,0,0,1,1
坡,0,0,0,0,0,1,1
垂,0,0,0,0,0,1,1
垄,0,0,0,0,0,1,1
垫,0,0,0,0,0,1,1
堂,0,0,0,0,0,1,1
堕,0,0,0,0,0,1,1
堡,0,0,0,0,0,1,1
堤,0,0,0,0,0,1,1
塌,0,0,0,0,0,1,1
塔,0,0,0,0,0,1,1
墅,0,0,0,0,0,1,1
墓,0,0,0,0,0,1,1
墟,0,0,0,0,0,1,1
墨,0,0,0,0,0,1,1
壤,0,0,0,0,0,1,1
壳,0,0,0,0,0,1,1
央,0,0,0,0,0,1,1
奉,0,0,0,0,0,1,1
奠,0,0,0,0,0,1,1
奢,0,0,0,0,0,1,1
奴,0,0,0,0,0,1,1
妄,0,0,0,0,0,1,1
妆,0,0,0,0,0,1,1
妒,0,0,0,0,0,1,1
姆,0,0,0,0,0,1,1
娇,0,0,0,0,0,1,1
婪,0,0,0,0,0,1,1
婴,0,0,0,0,0,1,1
媳,0,0,0,0,0,1,1
嫂,0,0,0,0,0,1,1
嫉,0,0,0,0,0,1,1
孔,0,0,0,0,0,1,1
宅,0,0,0,0,0,1,1
宇,0,0,0,0,0,1,1
宙,0,0,0,0,0,1,1
宪,0,0,0,0,0,1,1
宫,0,0,0,0,0,1,1
宰,0,0,0,0,0,1,1
宵,0,0,0,0,0,1,1
寝,0,0,0,0,0,1,1
寸,0,0,0,0,0,1,1
寺,0,0,0,0,0,1,1
尬,0,0,0,0,0,1,1
尴,0,0,0,0,0,1,1
尸,0,0,0,0,0,1,1
屁,0,0,0,0,0,1,1
屡,0,0,0,0,0,1,1
履,0,0,0,0,0,1,1
岂,0,0,0,0,0,1,1
岔,0,0,0,0,0,1,1
岗,0,0,0,0,0,1,1
岩,0,0,0,0,0,1,1
岳,0,0,0,0,0,1,1
峡,0,0,0,0,0,1,1
峰,0,0,0,0,0,1,1
峻,0,0,0,0,0,1,1
崖,0,0,0,0,0,1,1
崩,0,0,0,0,0,1,1
崭,0,0,0,0,0,1,1
嵌,0,0,0,0,0,1,1
川,0,0,0,0,0,1,1
州,0,0,0,0,0,1,1
巡,0,0,0,0,0,1,1
巢,0,0,0,0,0,1,1
巩,0,0,0,0,0,1,1
巷,0,0,0,0,0,1,1
帆,0,0,0,0,0,1,1
帐,0,0,0,0,0,1,1
帖,0,0,0,0,0,1,1
帜,0,0,0,0,0,1,1
帝,0,0,0,0,0,1,1
幢,0,0,0,0,0,1,1
庇,0,0,0,0,0,1,1
庙,0,0,0,0,0,1,1
庞,0,0,0,0,0,1,1
廊,0,0,0,0,0,1,1
廓,0,0,0,0,0,1,1
弦,0,0,0,0,0,1,1
彰,0,0,0,0,0,1,1
役,0,0,0,0,0,1,1
徊,0,0,0,0,0,1,1
徘,0,0,0,0,0,1,1
徙,0,0,0,0,0,1,1
御,0,0,0,0,0,1,1
怒,0,0,0,0,0,1,1
怖,0,0,0,0,0,1,1
怠,0,0,0,0,0,1,1
怯,0,0,0,0,0,1,1
恍,0,0,0,0,0,1,1
恒,0,0,0,0,0,1,1
恕,0,0,0,0,0,1,1
恩,0,0,0,0,0,1,1
悦,0,0,0,0,0,1,1
悼,0,0,0,0,0,1,1
惋,0,0,0,0,0,1,1
惕,0,0,0,0,0,1,1
惦,0,0,0,0,0,1,1
惨,0,0,0,0,0,1,1
惩,0,0,0,0,0,1,1
惫,0,0,0,0,0,1,1
惮,0,0,0,0,0,1,1
惰,0,0,0,0,0,1,1
惹,0,0,0,0,0,1,1
愈,0,0,0,0,0,1,1
愣,0,0,0,0,0,1,1
愤,0,0,0,0,0,1,1
慷,0,0,0,0,0,1,1
憋,0,0,0,0,0,1,1
扁,0,0,0,0,0,1,1
扑,0,0,0,0,0,1,1
扒,0,0,0,0,0,1,1
扛,0,0,0,0,0,1,1
扯,0,0,0,0,0,1,1
抑,0,0,0,0,0,1,1
抒,0,0,0,0,0,1,1
抛,0,0,0,0,0,1,1
拄,0,0,0,0,0,1,1
拌,0,0,0,0,0,1,1
拓,0,0,0,0,0,1,1
拖,0,0,0,0,0,1,1
拙,0,0,0,0,0,1,1
拟,0,0,0,0,0,1,1
拢,0,0,0,0,0,1,1
拣,0,0,0,0,0,1,1
拧,0,0,0,0,0,1,1
拽,0,0,0,0,0,1,1
挎,0,0,0,0,0,1,1
挖,0,0,0,0,0,1,1
挠,0,0,0,0,0,1,1
挨,0,0,0,0,0,1,1
挪,0,0,0,0,0,1,1
挫,0,0,0,0,0,1,1
捆,0,0,0,0,0,1,1
捉,0,0,0,0,0,1,1
捍,0,0,0,0,0,1,1
捎,0,0,0,0,0,1,1
捏,0,0,0,0,0,1,1
捞,0,0,0,0,0,1,1
捣,0,0,0,0,0,1,1
捷,0,0,0,0,0,1,1
掀,0,0,0,0,0,1,1
掏,0,0,0,0,0,1,1
掐,0,0,0,0,0,1,1
掘,0,0,0,0,0,1,1
掠,0,0,0,0,0,1,1
掰,0,0,0,0,0,1,1
掷,0,0,0,0,0,1,1
揉,0,0,0,0,0,1,1
揍,0,0,0,0,0,1,1
揭,0,0,0,0,0,1,1
援,0,0,0,0,0,1,1
搀,0,0,0,0,0,1,1
搁,0,0,0,0,0,1,1
搂,0,0,0,0,0,1,1
搅,0,0,0,0,0,1,1
搓,0,0,0,0,0,1,1
携,0,0,0,0,0,1,1
摊,0,0,0,0,0,1,1
摧,0,0,0,0,0,1,1
撇,0,0,0,0,0,1,1
撑,0,0,0,0,0,1,1
撒,0,0,0,0,0,1,1
撼,0,0,0,0,0,1,1
擎,0,0,0,0,0,1,1
攀,0,0,0,0,0,1,1
攒,0,0,0,0,0,1,1
敷,0,0,0,0,0,1,1
斑,0,0,0,0,0,1,1
斟,0,0,0,0,0,1,1
斥,0,0,0,0,0,1,1
斩,0,0,0,0,0,1,1
斯,0,0,0,0,0,1,1
旨,0,0,0,0,0,1,1
旱,0,0,0,0,0,1,1
